63.1.01.1,Beatlemania! With The Beatles,TRUE,rainbow no brackets,RCA,Mono,T-6051,
63.1.01.2,Beatlemania! With The Beatles,TRUE,rainbow no brackets,RCA,Mono,T-6051,
63.1.01.3,Beatlemania! With The Beatles,TRUE,rainbow no brackets,RCA,Mono,T-6051,
63.1.02.1,Beatlemania! With The Beatles,TRUE,rainbow with brackets,RCA,Mono,T-6051,
63.1.04.1,Beatlemania! With The Beatles,FALSE,green target,RCA,Mono,T-6051,
63.1.05.1,Beatlemania! With The Beatles,TRUE,red target,RCA,Mono,T-6051,
63.1.06.1,Beatlemania! With The Beatles,FALSE,orange 1st gen,RCA,Mono,T-6051,
63.1.06.2,Beatlemania! With The Beatles,TRUE,orange 1st gen,RCA Dynaflex,Mono,T-6051,
63.1.07.1,Beatlemania! With The Beatles,TRUE,orange 2nd gen,RCA,Mono new master,T-6051,
63.1.07.2,Beatlemania! With The Beatles,FALSE,orange 2nd gen,RCA Dynaflex,Mono new master,T-6051,
63.1.07.3,Beatlemania! With The Beatles,FALSE,orange 2nd gen,RCA Dynaflex,Stereo re-channeled,ST-6051,
63.1.08.1,Beatlemania! With The Beatles,FALSE,orange 3rd gen,Capitol,Stereo re-chaneled,ST-6051,
63.1.09.1,Beatlemania! With The Beatles,FALSE,purple 1st gen,unidentified,Stereo re-channeled & true,ST-6051,
63.1.10.1,Beatlemania! With The Beatles,TRUE,purple 2nd gen,Capitol,Stereo re-channeled,ST-6051,
63.1.11.1,Beatlemania! With The Beatles,TRUE,purple 3rd gen,Capitol,Stereo true,ST-6051,
63.1.12.1,Beatlemania! With The Beatles,FALSE,retro rainbow,Cinram,Stereo true,ST-6051,
63.1.12.2,Beatlemania! With The Beatles,FALSE,retro rainbow,Columbia,Stereo true,ST-6051,
64.1.01.1,Twist And Shout,FALSE,rainbow no brackets,RCA,Mono,T-6054,
64.1.01.2,Twist And Shout,FALSE,rainbow no brackets,RCA,Mono,T-6054,
64.1.01.3,Twist And Shout,TRUE,rainbow no brackets,RCA,Mono,T-6054,
64.1.01.4,Twist And Shout,FALSE,rainbow no brackets,RCA,Mono,T-6054,
64.1.02.1,Twist And Shout,TRUE,rainbow with brackets,RCA,Mono,T-6054,
64.1.02.2,Twist And Shout,TRUE,rainbow with brackets,RCA,Mono,T-6054,
64.1.05.1,Twist And Shout,TRUE,red target,RCA,Mono,T-6054,
64.1.06.1,Twist And Shout,FALSE,orange 1st gen,RCA,Mono,T-6054,
64.1.06.2,Twist And Shout,TRUE,orange 1st gen,RCA Dynaflex,Mono,T-6054,
64.1.07.1,Twist And Shout,TRUE,orange 2nd gen,RCA Dynaflex,Mono,T-6054,
64.1.08.1,Twist And Shout,TRUE,orange 3rd gen,Capitol,Stereo rechanneled,ST-6054,
64.1.09.1,Twist And Shout,TRUE,purple 1st gen,unidentified,Stereo rechanneled & true,ST-6054,
64.1.10.1,Twist And Shout,TRUE,purple 2nd gen,Capitol,Stereo rechanneled,ST-6054,
64.1.11.1,Twist And Shout,TRUE,purple 3rd gen,Capitol,Stereo true,ST-6054,
64.1.12.1,Twist And Shout,TRUE,retro rainbow,Capitol,Stereo,ST-6054,
64.1.12.2,Twist And Shout,TRUE,retro rainbow,Columbia,Stereo true,ST-6054,
64.1.12.3,Twist And Shout,TRUE,retro rainbow,Cinram,Stereo true,ST-6054,
64.2.01.1,Long Tall Sally,TRUE,rainbow no brackets,RCA,Mono,T-6063,
64.2.01.2,Long Tall Sally,FALSE,rainbow no brackets,RCA,Mono,T-6063,
64.2.01.3,Long Tall Sally,FALSE,rainbow no brackets,RCA,Mono,T-6063,
64.2.02.1,Long Tall Sally,FALSE,rainbow with brackets,RCA,Mono,T-6063,
64.2.02.2,Long Tall Sally,TRUE,rainbow with brackets,RCA,Mono,T-6063,
64.2.02.3,Long Tall Sally,TRUE,rainbow with brackets,RCA,Mono,T-6063,
64.2.05.1,Long Tall Sally,TRUE,red target,RCA,Mono,T-6063,
64.2.06.1,Long Tall Sally,TRUE,orange 1st gen,RCA Dynaflex,Mono,T-6063,
64.2.06.2,Long Tall Sally,FALSE,orange 1st gen,RCA Dynaflex,Mono,T-6063,
64.2.07.1,Long Tall Sally,TRUE,orange 2nd gen,RCA Dynaflex,Mono,T-6063,
64.2.08.1,Long Tall Sally,TRUE,orange 3rd gen,Capitol,Stereo,ST-6063,
64.2.09.1,Long Tall Sally,TRUE,purple 1st gen,unidentified,Stereo,ST-6063,
64.2.10.1,Long Tall Sally,TRUE,purple 2nd gen,Capitol,Stereo,ST-6063,
64.2.11.1,Long Tall Sally,FALSE,purple 3rd gen,Capitol,Stereo,ST-6063,
64.2.11.2,Long Tall Sally,TRUE,purple 3rd gen,Capitol,Stereo,ST-6063,
64.2.12.1,Long Tall Sally,TRUE,retro rainbow,Capitol,Stereo,ST-6063,
64.2.12.2,Long Tall Sally,FALSE,retro rainbow,Cinram,Stereo,ST-6063,
64.2.12.3,Long Tall Sally,TRUE,retro rainbow,Columbia,Stereo,ST-6063,
64.3.01.1,A Hard Day's Night,TRUE,United Artists red,Compo,Mono,UAL 3366,
64.3.01.2,A Hard Day's Night,TRUE,United Artists black,Compo,Mono,UAL 3366,
64.3.01.3,A Hard Day's Night,TRUE,United Artists blue,Compo,Mono,UAS 3366,
64.3.01.4,A Hard Day's Night,TRUE,United Artists black,Compo,Stereo,UAS 6366,
64.3.02.1,A Hard Day's Night,TRUE,United Artists tan MCA,Compo (MCA),Stereo,UAS-6366,faded.
64.3.02.2,A Hard Day's Night,FALSE,United Artists tan MCA,Compo (MCA),Stereo,UAS-6366,
64.3.02.3,A Hard Day's Night,FALSE,United Artists tan UA,RCA,Stereo,UAS-6366,
64.3.02.4,A Hard Day's Night,TRUE,United Artists tan UA,RCA Dynaflex,Stereo,UAS-6366,
64.3.02.5,A Hard Day's Night,FALSE,United Artists tan Capitol,Capitol,Stereo,UAS-6366,
64.3.03.1,A Hard Day's Night,TRUE,United Artists sunrise,Capitol,Stereo,UAS-6366,
64.3.03.2,A Hard Day's Night,TRUE,United Artists sunrise,Capitol,Stereo,UAS-6366,
64.3.10.1,A Hard Day's Night,FALSE,purple 2nd gen,Capitol,Stereo,SW-11921,
64.3.11.1,A Hard Day's Night,TRUE,purple 3rd gen,Capitol,Stereo,SW-11921,
64.3.12.1,A Hard Day's Night,TRUE,retro rainbow,Columbia,Stereo,SW-11921,
64.4.01.1,Something New,FALSE,rainbow no brackets,RCA,Mono,T-2108,
64.4.01.2,Something New,FALSE,rainbow no brackets,RCA,Mono,T-2108,
64.4.01.3,Something New,TRUE,rainbow no brackets,RCA,Mono,T-2108,
64.4.02.1,Something New,TRUE,rainbow with brackets,RCA,Mono,T-2108,
64.4.02.2,Something New,FALSE,rainbow with brackets,RCA,Stereo,ST-2108,
64.4.02.3,Something New,TRUE,rainbow with brackets,RCA,Stereo,ST-2108,
64.4.04.1,Something New,TRUE,green target,RCA,Stereo,ST-2108,
64.4.05.1,Something New,TRUE,red target,RCA,Stereo,ST-2108,
64.4.06.1,Something New,TRUE,orange 1st gen,RCA,Stereo,ST-2108,
64.4.06.2,Something New,TRUE,orange 1st gen,Columbia,Stereo,ST-2108,
64.4.07.1,Something New,TRUE,orange 2nd gen,Columbia,Stereo,ST-2108,
64.4.07.2,Something New,TRUE,orange 2nd gen,RCA Dynaflex,Stereo,ST-2108,
64.4.08.1,Something New,FALSE,orange 3rd gen,Capitol,Stereo,ST-2108,
64.4.09.1,Something New,FALSE,purple 1st gen,unidentified,Stereo,ST-2108,
64.4.10.1,Something New,TRUE,purple 2nd gen,Capitol,Stereo,ST-2108,
64.4.11.1,Something New,TRUE,purple 3rd gen,Capitol,Stereo,ST-2108,
64.4.12.1,Something New,TRUE,retro rainbow,Columbia,Stereo,ST-2108,
64.5.01.1,Beatles '65,TRUE,rainbow no brackets,RCA,Mono,T 2228,
64.5.01.2,Beatles '65,TRUE,rainbow no brackets,RCA,Stereo,ST 2228,
64.5.01.3,Beatles '65,TRUE,rainbow no brackets,RCA,Mono,T 2228,
64.5.02.1,Beatles '65,FALSE,rainbow with brackets,RCA,Mono,T 2228,
64.5.02.2,Beatles '65,FALSE,rainbow with brackets,RCA,Mono,T 2228,
64.5.02.3,Beatles '65,FALSE,rainbow with brackets,RCA,Stereo,ST 2228,
64.5.02.4,Beatles '65,FALSE,rainbow with brackets,RCA,Stereo,ST 2228,
64.5.02.5,Beatles '65,TRUE,rainbow with brackets,RCA,Stereo,ST 2228,
64.5.04.1,Beatles '65,TRUE,green target,RCA,Stereo,ST 2228,
64.5.05.1,Beatles '65,TRUE,red target,RCA,Stereo,ST 2228,
64.5.06.1,Beatles '65,TRUE,orange 1st gen,RCA,Stereo,ST 2228,
64.5.06.2,Beatles '65,TRUE,orange 1st gen,RCA Dynaflex,Stereo,ST 2228,
64.5.07.1,Beatles '65,TRUE,orange 2nd gen,Columbia,Stereo,ST 2228,
64.5.07.2,Beatles '65,FALSE,orange 2nd gen,Columbia,Stereo,ST 2228,
64.5.08.1,Beatles '65,FALSE,orange 3rd gen,Capitol,Stereo,ST 2228,
64.5.09.1,Beatles '65,FALSE,purple 1st gen,unidentified,Stereo,ST 2228,
64.5.10.1,Beatles '65,TRUE,purple 2nd gen,Capitol,Stereo,ST 2228,
64.5.11.1,Beatles '65,TRUE,purple 3rd gen,Capitol,Stereo,ST 2228,
64.5.12.1,Beatles '65,TRUE,retro rainbow,Columbia,Stereo,ST 2228,
64.6.01.1,The Beatles' Story,TRUE,rainbow no brackets,RCA,Mono,TBO-2222,
64.6.02.1,The Beatles' Story,FALSE,rainbow with brackets,RCA,Mono,TBO-2222,
64.6.02.2,The Beatles' Story,FALSE,rainbow with brackets,RCA,Stereo,STBO-2222,
64.6.02.3,The Beatles' Story,TRUE,rainbow with brackets,RCA,Stereo,STBO-2222,
64.6.05.1,The Beatles' Story,TRUE,red target,RCA,Stereo,STBO-2222,
64.6.06.1,The Beatles' Story,TRUE,orange 1st gen,RCA,Stereo,STBO-2222,
64.6.06.2,The Beatles' Story,TRUE,orange 1st gen,Columbia,Stereo,STBO-2222,
64.6.07.1,The Beatles' Story,TRUE,orange 2nd gen,Columbia,Stereo,STBO-2222,
64.6.07.2,The Beatles' Story,TRUE,orange 2nd gen,RCA Dynaflex,Stereo,STBO-2222,
64.6.10.1,The Beatles' Story,TRUE,purple 2nd gen,Capitol,Stereo,STBO-2222,
64.6.11.1,The Beatles' Story,TRUE,purple 3rd gen,Capitol,Stereo,STBO-2222,
65.1.01.1,Beatles' VI,TRUE,rainbow no brackets,RCA,Mono,T 2358,
65.1.01.2,Beatles' VI,TRUE,rainbow no brackets,RCA,Stereo,ST 2358,
65.1.02.1,Beatles' VI,TRUE,rainbow with brackets,RCA,Mono,T 2358,
65.1.02.2,Beatles' VI,FALSE,rainbow with brackets,RCA,Stereo,ST 2358,
65.1.02.3,Beatles' VI,FALSE,rainbow with brackets,RCA,Stereo,ST 2358,
65.1.02.4,Beatles' VI,TRUE,rainbow with brackets,RCA,Stereo,ST 2358,
65.1.02.5,Beatles' VI,FALSE,rainbow with brackets,RCA,Stereo,ST 2358,
65.1.02.6,Beatles' VI,FALSE,rainbow with brackets,RCA,Stereo,ST 2358,
65.1.04.1,Beatles' VI,FALSE,green target,RCA,Stereo,ST 2358,
65.1.04.2,Beatles' VI,TRUE,green target,RCA,Stereo,ST 2358,
65.1.05.1,Beatles' VI,TRUE,red target,RCA,Stereo,ST 2358,
65.1.06.1,Beatles' VI,FALSE,orange 1st gen,RCA,Stereo,ST 2358,
65.1.06.2,Beatles' VI,TRUE,orange 1st gen,RCA Dynaflex,Stereo,ST 2358,
65.1.07.1,Beatles' VI,TRUE,orange 2nd gen,Columbia,Stereo,ST 2358,
65.1.08.1,Beatles' VI,FALSE,orange 3rd gen,Capitol,Stereo,ST 2358,
65.1.09.1,Beatles' VI,FALSE,purple 1st gen,unidentified,Stereo,ST 2358,
65.1.10.1,Beatles' VI,TRUE,purple 2nd gen,Capitol,Stereo,ST 2358,
65.1.10.2,Beatles' VI,TRUE,purple 2nd gen,Capitol,Stereo,ST 2358,
65.1.11.1,Beatles' VI,TRUE,purple 3rd gen,Capitol,Stereo,ST 2358,
65.1.12.1,Beatles' VI,FALSE,retro rainbow,Columbia,Stereo,ST 2358,
65.2.01.1,Help!,TRUE,rainbow no brackets,Compo,Mono,MAS-2386,
65.2.01.2,Help!,TRUE,rainbow no brackets,Compo,Stereo,SMAS-2386,
65.2.01.3,Help!,TRUE,rainbow no brackets,Compo,Mono,MAS-2386,
65.2.02.1,Help!,FALSE,rainbow with brackets,Compo,Mono,MAS-2386,
65.2.02.2,Help!,TRUE,rainbow with brackets,Compo,Stereo,SMAS-2386,
65.2.02.3,Help!,FALSE,rainbow with brackets,Compo,Stereo,SMAS-2386,
65.2.02.4,Help!,FALSE,rainbow with brackets,Compo,Stereo,SMAS-2386,
65.2.04.1,Help!,TRUE,green target,Compo,Stereo,SMAS-2386,
65.2.05.1,Help!,TRUE,red target,Compo,Stereo,SMAS-2386,
65.2.06.1,Help!,TRUE,orange 1st gen,Compo,Stereo,SMAS-2386,
65.2.07.1,Help!,TRUE,orange 2nd gen,Columbia,Stereo,SMAS-2386,
65.2.08.1,Help!,FALSE,orange 3rd gen,Capitol,Stereo,SMAS-2386,
65.2.09.1,Help!,FALSE,purple 1st gen,unidentified,Stereo,SMAS-2386,
65.2.10.1,Help!,TRUE,purple 2nd gen,Capitol,Stereo,SMAS-2386,
65.2.11.1,Help!,TRUE,purple 3rd gen,Capitol,Stereo,SMAS-2386,
65.2.12.1,Help!,TRUE,retro rainbow,Columbia,Stereo,SMAS-2386,
65.3.01.1,Rubber Soul,TRUE,rainbow no brackets,RCA,Mono,T 2442,
65.3.01.2,Rubber Soul,TRUE,rainbow no brackets,Compo,Mono,T 2442,
65.3.01.3,Rubber Soul,TRUE,rainbow no brackets,Compo,Mono,T 2442,
65.3.01.4,Rubber Soul,TRUE,rainbow no brackets,Compo,Mono,T 2442,
65.3.01.5,Rubber Soul,TRUE,rainbow no brackets,Compo,Stereo,ST 2442,
65.3.01.6,Rubber Soul,FALSE,rainbow no brackets,Compo,Stereo,ST 2442,
65.3.02.1,Rubber Soul,FALSE,rainbow with brackets,Compo,Mono,T 2442,
65.3.02.2,Rubber Soul,TRUE,rainbow with brackets,Compo,Stereo,ST 2442,
65.3.02.3,Rubber Soul,TRUE,rainbow with brackets,Compo,Stereo,ST 2442,
65.3.04.1,Rubber Soul,TRUE,green target,Compo,Stereo,ST 2442,
65.3.04.2,Rubber Soul,TRUE,green target,Compo,Stereo,ST 2442,
65.3.05.1,Rubber Soul,TRUE,red target,Compo,Stereo,ST 2442,
65.3.06.1,Rubber Soul,TRUE,orange 1st gen,Compo,Stereo,ST 2442,
65.3.07.1,Rubber Soul,TRUE,orange 2nd gen,Columbia,Stereo,ST 2442,
65.3.08.1,Rubber Soul,TRUE,orange 3rd gen,Capitol,Stereo,ST 2442,
65.3.09.1,Rubber Soul,TRUE,purple 1st gen,unidentified,Stereo,ST 2442,
65.3.10.1,Rubber Soul,TRUE,purple 2nd gen,Capitol,Stereo,SW 2442,
65.3.11.1,Rubber Soul,TRUE,purple 3rd gen,Capitol,Stereo,SW 2442,
65.3.12.1,Rubber Soul,TRUE,retro rainbow,Columbia,Stereo,SW2442,
66.1.01.1,Yesterday And Today,TRUE,rainbow no brackets,Compo,Mono,T 2553,
66.1.01.2,Yesterday And Today,TRUE,rainbow no brackets,Compo,Stereo,ST 2553,
66.1.01.3,Yesterday And Today,TRUE,rainbow no brackets,Compo,Stereo,ST 2553,
66.1.02.1,Yesterday And Today,TRUE,rainbow with brackets,Compo,Mono,T 2553,
66.1.02.2,Yesterday And Today,FALSE,rainbow with brackets,Compo,Stereo,ST 2553,
66.1.02.3,Yesterday And Today,TRUE,rainbow with brackets,Compo,Stereo,ST 2553,
66.1.04.1,Yesterday And Today,TRUE,green target,Keel,Stereo,ST 2553,
66.1.04.2,Yesterday And Today,FALSE,green target,Compo,Stereo,ST 2553,
66.1.04.3,Yesterday And Today,TRUE,green target,Compo,Stereo,ST 2553,
66.1.04.4,Yesterday And Today,TRUE,green target,Compo,Stereo,ST 2553,
66.1.05.1,Yesterday And Today,TRUE,red target,Compo,Stereo,ST 2553,
66.1.06.1,Yesterday And Today,TRUE,orange 1st gen,Compo,Stereo,ST 2552,
66.1.07.1,Yesterday And Today,TRUE,orange 2nd gen,Keel,Stereo,ST 2553,
66.1.07.2,Yesterday And Today,TRUE,orange 2nd gen,Keel,Stereo,ST 2553,
66.1.07.3,Yesterday And Today,FALSE,orange 2nd gen,Compo,Stereo,ST 2553,
66.1.08.2,Yesterday And Today,FALSE,orange 3rd gen,Capitol,Stereo,ST 2553,
66.1.09.1,Yesterday And Today,FALSE,purple 1st gen,unidentified,Stereo,ST 2553,
66.1.10.1,Yesterday And Today,FALSE,purple 2nd gen,Capitol,Stereo,ST 2553,
66.1.10.2,Yesterday And Today,TRUE,purple 2nd gen,Capitol,Stereo,ST 2553,
66.1.11.1,Yesterday And Today,TRUE,purple 3rd gen,Capitol,Stereo,ST 2553,
66.1.12.1,Yesterday And Today,TRUE,retro rainbow,Columbia,Stereo,ST 2553,
6.2.02.1,Revolver,TRUE,rainbow with brackets,Compo,Mono,T 2576,
66.2.02.2,Revolver,TRUE,rainbow with brackets,Compo,Stereo,ST 2576,
66.2.02.3,Revolver,TRUE,rainbow with brackets,Compo,Stereo,ST 2576,
66.2.04.1,Revolver,TRUE,green target,Compo,Stereo,ST 2576,
66.2.05.1,Revolver,TRUE,red target,Compo,Stereo,ST 2576,
